,Name,Optimal Value,Minimum Solution Cost,Max Solution Cost,Avg Solution Cost,Std of Solution Cost,Avg Run Time
0,A-n32-k5,784,912.6892736348896,1152.2427902598397,991.3814504709062,46.644234273643555,1.8306666666666669
1,A-n33-k5,661,767.5745898206924,920.7204127829577,829.5625461023815,38.15267926468824,1.643666666666667
2,A-n33-k6,742,822.2869340710148,982.289071264355,900.6232373615957,40.97770747991337,1.6943333333333332
3,A-n34-k5,778,876.1223651795945,1057.1592910076924,975.9359501514996,44.425597748024686,1.623
4,A-n36-k5,799,917.6013902731106,1070.2010263958896,997.1153516053978,38.256173857283976,1.700333333333333
5,A-n37-k5,669,752.5543575197205,939.5809055107763,858.3135062085641,45.18025999088634,1.747333333333333
6,A-n37-k6,949,1098.6405808953537,1260.7528878604599,1166.6068373047747,43.95548267894326,1.7530000000000003
7,A-n38-k5,730,845.1900416235695,1148.3950204068333,942.8811693924582,66.17834945335605,1.793
8,A-n39-k5,822,978.7476716718601,1137.507975239559,1063.187751013624,45.843876262174355,1.7146666666666668
9,A-n39-k6,831,967.4909897695784,1157.835738015314,1049.7499664460609,50.43996198640229,1.7736666666666667
10,A-n44-k6,937,1111.3628156192394,1346.4162945383678,1195.2434019414502,55.85381528741483,1.871
11,A-n45-k6,944,1152.0314351131883,1345.1557360669274,1229.374434108918,48.58518258077596,2.0260000000000002
12,A-n45-k7,1146,1298.0917918396797,1394.9371158447786,1355.5486990889165,26.606643241984216,1.8746666666666667
13,A-n46-k7,914,1091.0943978069956,1244.3258398240914,1165.3528233584418,40.739377235018836,1.9096666666666668
14,A-n48-k7,1073,1278.3364815993043,1546.820870840207,1346.3221163568144,54.56112749719316,1.9223333333333334
15,A-n53-k7,1010,1238.7440827651926,1546.3676027108463,1355.5962371359167,72.18009013966797,2.098333333333333
16,A-n54-k7,1167,1404.7170675907364,1594.3892841735403,1490.373974000507,45.1067915048816,2.0436666666666667
17,A-n55-k9,1073,1262.4685699574966,1532.6478970464968,1393.7379033681698,56.89482560317752,2.2273333333333336
18,A-n60-k9,1408,1566.4035315677934,1804.5391310488612,1697.4570361022152,55.02804866255011,2.2700000000000005
19,A-n61-k9,1035,1271.5168176871296,1452.408637990693,1355.2475568099912,43.497435202664036,2.2479999999999998
20,A-n62-k8,1290,1566.4465080776547,1809.7280841165907,1692.6316715101868,56.40250073780646,2.1413333333333333
21,A-n63-k10,1315,1565.069999048592,1754.716958516468,1666.9828596226387,46.24326815847767,2.336
22,A-n63-k9,1634,1931.5285510058545,2187.8909641568825,2000.7247977270347,55.0452003235508,2.2729999999999992
23,A-n64-k9,1402,1732.7733684707407,1950.721571823176,1822.2766027589387,57.780801850711285,2.2533333333333325
24,A-n65-k9,1177,1557.5195312802791,1744.9574230099379,1635.2553833162324,51.770304270603184,2.2906666666666666
25,A-n69-k9,1168,1481.3505333281032,1718.502414013253,1605.364825626738,62.138790026962916,2.340666666666667
26,A-n80-k10,1764,2225.6778823718814,2595.607515596653,2387.6092229583023,72.9002373099962,2.4793333333333325
27,B-n31-k5,672,700.6385539192265,812.7139582946639,732.9049479997263,21.93949786818777,1.6973333333333336
28,B-n34-k5,788,830.1900727580203,1008.8919094790194,911.3767297738736,43.69233354390714,1.6386666666666665
29,B-n35-k5,955,975.4752854291019,1144.5301034579304,1077.249994862558,39.558614930562904,1.6813333333333338
30,B-n38-k6,805,858.5179197319441,957.5617677133675,897.9959474067463,25.40781366354934,1.7870000000000004
31,B-n39-k5,549,603.3402099875012,774.0929157058689,688.704430813355,38.19786768289605,1.7296666666666665
32,B-n41-k6,829,921.1090053691825,1134.9452637464658,1034.2187702287745,47.46157593598061,1.8029999999999997
33,B-n43-k6,742,820.1482309844847,991.9386646161424,879.8934664157239,36.928371427668175,1.8343333333333331
34,B-n44-k7,909,1023.8019446271442,1218.6591118543802,1091.287710573535,39.38791445809212,1.886
35,B-n45-k5,751,856.5827624213257,1016.8802099523025,935.3490275214114,45.91196495490374,1.8956666666666666
36,B-n45-k6,678,784.8917356667649,914.176544651747,833.8702943031743,32.77664490513888,1.9256666666666669
37,B-n50-k7,741,842.1706055241414,1053.335764669593,956.344340240736,48.86279198039284,1.9483333333333333
38,B-n50-k8,1313,1395.9441495229785,1589.7839175153292,1478.7537008712764,52.831621446669715,2.0236666666666663
39,B-n51-k7,1032,1152.5661020155294,1429.5319922250737,1289.7693146553343,62.97569364136179,2.0669999999999997
40,B-n52-k7,747,841.7387095754294,1036.2560752075833,940.5076777094354,58.75510159485202,1.9906666666666666
41,B-n56-k7,707,813.7118790965607,1083.0224623277554,905.5008929864412,63.84448307033924,2.0420000000000003
42,B-n57-k7,1153,1310.9355074939795,1631.6284037570294,1454.762345771256,77.56354106740716,2.1426666666666665
43,B-n57-k9,1598,1760.3201197639005,1960.5392862242165,1846.9301066958674,45.979277789640015,2.118
44,B-n63-k10,1537,1766.781708875472,1983.9773655509894,1878.3640870696051,54.63644292057584,2.3070000000000004
45,B-n64-k9,861,1012.3303293848847,1258.8873571344623,1128.8888766563157,65.70503569324111,2.2933333333333326
46,B-n66-k9,1374,1519.5166398750146,1757.8524102241029,1647.1551080637203,59.4175394313501,2.301
47,B-n67-k10,1033,1247.5722374759146,1497.6123719873724,1350.4312693833147,67.62028200362168,2.3070000000000004
48,B-n68-k9,1304,1489.0313417847128,1686.3526477211315,1600.3130351303566,50.1038269502362,2.2696666666666667
49,B-n78-k10,1266,1517.8776027405768,1874.0477083871028,1669.9473697936535,93.07176428299034,2.4523333333333337
50,P-n101-k4,681,1222.2630868428987,1393.165114181883,1294.23452281796,46.55509819921873,2.6229999999999993
51,P-n16-k8,435,451.33508020861797,481.20474220390577,464.2933821604495,9.89836180529959,1.4933333333333332
52,P-n19-k2,212,251.97207043842758,339.4979024586281,290.1280462742942,20.442662547667382,1.3066666666666669
53, P-n20-k2,220,265.0299037003075,359.4280799903315,302.46960617335026,21.557050740270252,1.31
54,P-n21-k2,211,256.8609744827042,346.01516769561374,289.1316860381286,20.037425117142206,1.3873333333333335
55,P-n22-k2,216,274.512843725952,346.3468132812882,306.3116920860601,19.46921260753532,1.3533333333333333
56,P-n22-k8,603,602.6263203748842,692.8880530632392,643.14185811993,18.47157893891755,1.7019999999999997
57,P-n23-k8,554,541.3101016946209,611.5224299472964,568.7034724935634,20.11474337707908,1.7093333333333331
58,P-n40-k5.vrp,458,540.1505430221619,669.4938812969222,605.4760341464201,33.77910092997298,1.723333333333333
59,P-n45-k5,510,638.9230696753762,768.6708467552772,697.5965553164824,33.440995672850676,1.7593333333333332
60,P-n50-k10,696,791.8403535352057,910.8448005851133,853.2556764688729,31.697232933037736,2.1929999999999996
61, P-n50-k7,554,678.8046442241485,783.7147700952964,728.1163281032035,31.715451630735593,1.9236666666666669
62,P-n50-k8,649,727.7512247469754,837.1336105808399,781.4242994474208,27.693277417300244,2.053666666666667
63,P-n51-k10,745,861.013870992222,970.3161325065626,909.7952471913678,24.890928431291577,2.227
64,P-n55-k10,669,802.7631838038881,940.9739288672328,859.1859108993006,28.530446727836868,2.168333333333334
65,P-n55-k15,856,1041.6582693277944,1175.7520954555778,1094.460556321393,30.437084543810794,2.7823333333333333
66,P-n55-k7,524,688.0383811015791,805.5655295605243,744.6008630745333,27.14535451766317,2.0090000000000003
67,P-n55-k8,576,703.9387291910701,872.6788059544191,783.3286548061552,41.16566671886463,1.9773333333333334
68,P-n60-k10,706,891.4177735875219,1025.8504558971101,947.114529169887,34.16314015242779,2.2896666666666667
69,P-n60-k15,905,1093.189599585035,1227.1593821865292,1152.294236238214,33.75603643397899,2.7499999999999996
70,P-n65-k10,792,953.5200763564765,1175.5912830045825,1032.680120029495,39.445735023126595,2.330333333333333
71,P-n70-k10,834,1024.2518689305766,1161.5635750582956,1098.141480361589,33.934175471270024,2.4106666666666663
72,P-n76-k4,589,946.6488711648682,1178.728761560056,1060.9464076761674,63.38348044817041,2.1586666666666665
73,P-n76-k5,631,914.1346359529482,1221.1596246100912,1042.9020765615069,78.09933545579007,2.2186666666666666
